epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,785.771,0.36532,0.29783,0.856,0.9658,0.96667,0.99305,0.89395,0.30023,0.21186,0.75881,0.000848969,0.000848969,0.000848969
43,803.653,0.31632,0.26675,0.83318,0.95526,0.97089,0.99349,0.907,0.28629,0.20316,0.75478,0.000834822,0.000834822,0.000834822
44,820.827,0.31435,0.25694,0.83018,0.93741,0.98748,0.99468,0.91297,0.29212,0.20296,0.75808,0.000820675,0.000820675,0.000820675
45,838.373,0.29045,0.24111,0.83482,0.94859,0.99182,0.995,0.90585,0.28666,0.20207,0.75722,0.000806528,0.000806528,0.000806528
46,855.701,0.30139,0.24011,0.8394,0.97963,0.96912,0.99318,0.88633,0.28838,0.20596,0.75585,0.00079238,0.00079238,0.00079238
47,873.207,0.30952,0.25327,0.83743,0.9975,0.97451,0.99318,0.92376,0.27246,0.2017,0.75399,0.000778233,0.000778233,0.000778233
48,890.797,0.29959,0.24883,0.84669,0.98309,1,0.995,0.9299,0.26646,0.19361,0.75384,0.000764086,0.000764086,0.000764086
49,908.396,0.31461,0.25064,0.83802,0.98708,1,0.995,0.93619,0.26448,0.19433,0.7539,0.000749939,0.000749939,0.000749939
50,925.58,0.2876,0.23387,0.84257,0.99245,1,0.995,0.9405,0.27329,0.19574,0.75642,0.000735792,0.000735792,0.000735792
51,942.491,0.29366,0.23529,0.8316,0.99136,0.99305,0.995,0.93059,0.28691,0.19563,0.76065,0.000721645,0.000721645,0.000721645
52,959.886,0.28585,0.23663,0.82648,0.99786,0.98283,0.995,0.92681,0.26235,0.18775,0.75522,0.000707498,0.000707498,0.000707498
53,977.143,0.28587,0.22723,0.84193,0.99781,0.98532,0.995,0.92827,0.25361,0.18581,0.75317,0.000693351,0.000693351,0.000693351
54,994.807,0.29327,0.23756,0.83789,0.97491,0.99636,0.995,0.94758,0.25044,0.19037,0.75488,0.000679204,0.000679204,0.000679204
55,1012.13,0.28629,0.2374,0.83042,0.97638,0.9967,0.995,0.94278,0.24232,0.17788,0.75293,0.000665057,0.000665057,0.000665057
56,1029.48,0.29364,0.23963,0.83662,0.97804,1,0.995,0.9451,0.23503,0.18018,0.75086,0.000650909,0.000650909,0.000650909
57,1046.8,0.27638,0.23028,0.83321,0.97781,1,0.995,0.94748,0.24985,0.18169,0.75185,0.000636762,0.000636762,0.000636762
58,1063.8,0.26981,0.22984,0.83321,0.97986,1,0.995,0.95484,0.2371,0.18079,0.74998,0.000622615,0.000622615,0.000622615
59,1081.04,0.2739,0.22106,0.83281,0.97942,1,0.995,0.94623,0.23634,0.18236,0.75222,0.000608468,0.000608468,0.000608468
